id,student_id,topic_id,score,time_spent,attempts,timestamp
242,10,15,36.7,137,1,2026-03-08 09:00:00
243,10,15,55.1,141,2,2026-03-08 17:00:00
244,10,15,58.0,161,3,2026-03-09 10:00:00
245,10,16,48.3,106,1,2026-03-11 09:00:00
246,10,17,39.1,170,1,2026-03-11 17:00:00
247,10,17,47.3,136,2,2026-03-13 01:00:00
248,10,17,55.6,131,3,2026-03-13 12:00:00
249,10,18,50.1,119,1,2026-03-13 20:00:00
250,10,19,51.3,106,1,2026-03-14 01:00:00
251,10,19,55.3,156,2,2026-03-15 15:00:00
252,10,19,35.6,141,3,2026-03-17 06:00:00
253,11,1,92.4,34,1,2026-01-23 09:00:00
254,11,2,75.5,34,1,2026-01-24 21:00:00
255,11,3,72.2,53,1,2026-01-26 06:00:00
256,11,3,87.4,93,2,2026-01-26 16:00:00
257,11,3,73.0,54,3,2026-01-28 14:00:00
258,11,4,87.5,30,1,2026-01-30 12:00:00
259,11,5,76.6,55,1,2026-01-31 12:00:00
260,11,6,83.9,54,1,2026-02-01 13:00:00
261,11,7,78.4,30,1,2026-02-03 07:00:00
262,11,8,63.9,58,1,2026-02-03 15:00:00
263,11,9,86.3,55,1,2026-02-03 21:00:00
264,11,10,53.5,73,1,2026-02-04 15:00:00
265,11,11,89.9,96,1,2026-02-05 18:00:00
266,11,12,87.0,82,1,2026-02-06 09:00:00
267,11,13,71.3,54,1,2026-02-07 05:00:00
268,11,14,31.6,37,1,2026-02-08 14:00:00
269,11,15,40.5,111,1,2026-02-09 11:00:00
270,11,16,33.1,61,1,2026-02-11 08:00:00
271,11,17,49.2,60,1,2026-02-12 10:00:00
272,11,18,89.3,59,1,2026-02-13 04:00:00
273,12,1,49.2,113,1,2026-01-30 01:00:00
274,12,1,95.0,107,2,2026-01-31 18:00:00
275,12,2,96.7,98,1,2026-02-02 14:00:00
276,12,3,55.4,99,1,2026-02-04 08:00:00
277,12,3,99.8,109,2,2026-02-05 01:00:00
278,12,4,50.4,99,1,2026-02-05 16:00:00
279,12,4,39.2,95,2,2026-02-07 10:00:00
280,12,4,95.8,112,3,2026-02-07 15:00:00
281,12,5,65.0,104,1,2026-02-09 10:00:00
282,12,6,65.8,140,1,2026-02-11 00:00:00
283,12,6,71.3,56,2,2026-02-12 06:00:00
284,12,6,45.2,131,3,2026-02-13 16:00:00
285,12,7,51.7,134,1,2026-02-14 14:00:00
286,12,8,70.2,68,1,2026-02-16 03:00:00
287,12,8,73.2,103,2,2026-02-17 03:00:00
288,12,8,81.0,102,3,2026-02-18 17:00:00
289,12,9,52.1,81,1,2026-02-19 08:00:00
290,12,9,45.9,94,2,2026-02-20 10:00:00
291,12,10,80.2,87,1,2026-02-21 22:00:00
292,12,11,88.0,145,1,2026-02-22 11:00:00
293,13,1,46.0,158,1,2026-01-29 04:00:00
294,13,2,30.4,165,1,2026-01-31 00:00:00
295,13,3,56.9,154,1,2026-01-31 18:00:00
296,13,3,33.5,117,2,2026-01-31 22:00:00
297,13,3,53.4,129,3,2026-02-02 20:00:00
298,13,4,52.3,149,1,2026-02-03 18:00:00
299,13,4,98.9,115,2,2026-02-04 15:00:00
300,13,4,46.2,154,3,2026-02-04 19:00:00
301,13,5,52.9,135,1,2026-02-06 09:00:00
302,13,5,39.7,132,2,2026-02-08 01:00:00
303,13,6,72.0,154,1,2026-02-09 11:00:00
304,13,7,30.4,148,1,2026-02-10 13:00:00
305,13,7,59.9,132,2,2026-02-10 22:00:00
306,13,8,40.7,163,1,2026-02-11 15:00:00
307,13,8,77.3,118,2,2026-02-12 07:00:00
308,13,9,34.8,152,1,2026-02-12 20:00:00
309,13,9,51.6,151,2,2026-02-13 00:00:00
310,13,10,69.3,133,1,2026-02-13 21:00:00
311,13,10,35.1,146,2,2026-02-14 15:00:00
312,13,10,80.4,114,3,2026-02-16 05:00:00
313,13,11,30.5,158,1,2026-02-17 05:00:00
314,13,11,88.4,136,2,2026-02-17 15:00:00
315,13,12,49.9,129,1,2026-02-18 16:00:00
316,13,12,46.0,160,2,2026-02-19 19:00:00
317,13,12,57.4,125,3,2026-02-20 07:00:00
318,13,13,59.5,111,1,2026-02-20 20:00:00
319,13,14,58.8,108,1,2026-02-22 16:00:00
320,13,15,32.4,152,1,2026-02-23 02:00:00
321,13,15,43.4,114,2,2026-02-23 12:00:00
322,13,16,44.0,175,1,2026-02-23 17:00:00
323,13,16,51.5,98,2,2026-02-25 09:00:00
324,13,17,45.2,173,1,2026-02-26 17:00:00
325,13,17,55.6,144,2,2026-02-27 06:00:00
326,13,17,63.9,138,3,2026-03-01 01:00:00
327,13,18,45.8,129,1,2026-03-01 22:00:00
328,13,18,48.0,147,2,2026-03-03 15:00:00
329,13,19,38.4,139,1,2026-03-05 15:00:00
330,13,19,48.9,162,2,2026-03-05 23:00:00
331,13,19,69.7,142,3,2026-03-07 04:00:00
332,14,1,73.8,63,1,2026-01-23 22:00:00
333,14,2,84.0,52,1,2026-01-24 22:00:00
334,14,3,87.9,58,1,2026-01-26 12:00:00
335,14,3,79.3,66,2,2026-01-28 08:00:00
336,14,3,47.6,30,3,2026-01-29 02:00:00
337,14,4,84.1,33,1,2026-01-29 14:00:00
338,14,5,53.8,74,1,2026-01-30 21:00:00
339,14,6,91.4,63,1,2026-02-01 02:00:00
340,14,7,94.0,56,1,2026-02-01 21:00:00
341,14,8,95.6,60,1,2026-02-02 18:00:00
342,14,9,49.6,66,1,2026-02-03 15:00:00
343,14,10,73.8,49,1,2026-02-04 01:00:00
344,14,11,93.6,44,1,2026-02-05 02:00:00
345,14,12,68.0,63,1,2026-02-05 11:00:00
346,14,13,95.2,40,1,2026-02-06 02:00:00
347,14,14,99.8,68,1,2026-02-07 10:00:00
348,14,14,99.5,30,2,2026-02-07 20:00:00
349,15,1,86.5,80,1,2026-01-19 06:00:00
350,15,2,76.5,69,1,2026-01-19 13:00:00
351,15,3,81.9,65,1,2026-01-20 10:00:00
352,15,4,81.1,79,1,2026-01-22 10:00:00
353,15,5,80.7,93,1,2026-01-24 06:00:00
354,15,5,99.5,80,2,2026-01-25 17:00:00
355,15,6,74.0,30,1,2026-01-26 21:00:00
356,15,7,87.0,34,1,2026-01-28 21:00:00
357,15,8,52.1,47,1,2026-01-30 15:00:00
358,15,9,89.1,60,1,2026-02-01 00:00:00
359,15,10,91.6,70,1,2026-02-02 19:00:00
360,15,11,78.5,45,1,2026-02-04 10:00:00
361,15,12,70.9,63,1,2026-02-04 22:00:00
362,15,13,85.8,44,1,2026-02-06 02:00:00
363,15,14,97.6,47,1,2026-02-06 10:00:00
364,15,15,98.1,31,1,2026-02-07 13:00:00
365,16,1,95.0,41,1,2026-01-31 06:00:00
366,16,2,89.7,32,1,2026-01-31 22:00:00
367,16,3,87.3,40,1,2026-02-01 08:00:00
368,16,4,85.1,81,1,2026-02-01 23:00:00
369,16,5,51.9,41,1,2026-02-03 01:00:00
370,16,6,86.9,112,1,2026-02-04 01:00:00
371,16,7,47.9,69,1,2026-02-05 04:00:00
372,16,8,96.7,63,1,2026-02-06 17:00:00
373,16,9,66.7,42,1,2026-02-08 17:00:00
374,16,10,87.5,74,1,2026-02-09 13:00:00
375,16,11,91.7,48,1,2026-02-10 06:00:00
376,16,12,33.8,62,1,2026-02-11 22:00:00
377,16,13,66.8,111,1,2026-02-12 07:00:00
378,16,14,67.1,58,1,2026-02-14 04:00:00
379,16,15,85.1,82,1,2026-02-15 20:00:00
380,16,16,33.6,45,1,2026-02-17 14:00:00
381,16,16,80.1,59,2,2026-02-18 19:00:00
382,16,17,90.9,95,1,2026-02-20 07:00:00
383,16,18,92.1,47,1,2026-02-21 22:00:00
384,16,19,90.2,96,1,2026-02-23 14:00:00
385,17,1,80.5,104,1,2026-01-03 23:00:00
386,17,2,91.9,78,1,2026-01-05 02:00:00
387,17,3,94.1,102,1,2026-01-05 06:00:00
388,17,3,92.2,109,2,2026-01-05 11:00:00
389,17,4,99.8,102,1,2026-01-06 21:00:00
390,17,5,78.5,58,1,2026-01-07 17:00:00
391,17,6,89.9,75,1,2026-01-08 21:00:00
392,17,7,91.3,85,1,2026-01-10 01:00:00
393,17,8,52.4,88,1,2026-01-11 13:00:00
394,17,9,74.7,102,1,2026-01-13 00:00:00
395,17,10,71.9,93,1,2026-01-14 12:00:00
396,17,11,81.8,63,1,2026-01-15 01:00:00
397,17,12,46.7,97,1,2026-01-16 21:00:00
398,17,12,43.1,102,2,2026-01-17 20:00:00
399,17,12,86.2,101,3,2026-01-19 17:00:00
400,17,13,68.9,111,1,2026-01-21 00:00:00
401,17,14,96.4,106,1,2026-01-21 15:00:00
402,17,15,62.8,99,1,2026-01-22 23:00:00
403,17,15,75.5,88,2,2026-01-23 15:00:00
404,17,16,70.8,56,1,2026-01-24 09:00:00
405,17,17,95.6,98,1,2026-01-26 06:00:00
406,17,17,71.0,94,2,2026-01-26 20:00:00
407,17,17,69.4,95,3,2026-01-27 14:00:00
408,17,18,64.6,64,1,2026-01-29 01:00:00
409,17,18,62.9,68,2,2026-01-29 07:00:00
410,17,18,52.8,111,3,2026-01-31 02:00:00
411,17,19,94.8,89,1,2026-01-31 12:00:00
412,17,19,92.1,103,2,2026-02-02 02:00:00
413,17,19,37.6,90,3,2026-02-03 22:00:00
414,18,1,97.6,90,1,2026-02-01 07:00:00
415,18,2,73.4,108,1,2026-02-01 16:00:00
416,18,3,96.9,79,1,2026-02-02 07:00:00
417,18,4,83.5,91,1,2026-02-02 16:00:00
418,18,5,45.1,80,1,2026-02-04 11:00:00
419,18,5,52.6,81,2,2026-02-05 01:00:00
420,18,5,91.4,83,3,2026-02-05 14:00:00
421,18,6,97.0,94,1,2026-02-07 10:00:00
422,18,6,84.9,80,2,2026-02-08 06:00:00
423,18,7,48.1,115,1,2026-02-09 23:00:00
424,18,8,88.9,72,1,2026-02-11 14:00:00
425,18,9,63.4,86,1,2026-02-11 20:00:00
426,18,10,89.8,81,1,2026-02-13 19:00:00
427,18,11,79.0,118,1,2026-02-14 01:00:00
428,18,12,73.7,93,1,2026-02-14 23:00:00
429,18,13,73.3,110,1,2026-02-15 16:00:00
430,18,14,95.4,60,1,2026-02-16 14:00:00
431,18,14,73.9,95,2,2026-02-18 09:00:00
432,18,14,62.2,107,3,2026-02-20 05:00:00
433,19,1,73.5,91,1,2026-01-31 09:00:00
434,19,2,89.2,111,1,2026-02-02 05:00:00
435,19,3,93.0,79,1,2026-02-03 17:00:00
436,19,4,37.7,118,1,2026-02-03 22:00:00
437,19,5,65.6,135,1,2026-02-04 11:00:00
438,19,5,32.2,82,2,2026-02-05 17:00:00
439,19,6,87.3,81,1,2026-02-07 07:00:00
440,19,7,81.3,119,1,2026-02-07 12:00:00
441,19,8,60.0,121,1,2026-02-07 23:00:00
442,19,9,94.9,79,1,2026-02-08 18:00:00
443,19,10,66.4,81,1,2026-02-09 00:00:00
444,20,1,59.2,84,1,2026-01-26 01:00:00
445,20,2,38.2,63,1,2026-01-28 00:00:00
446,20,2,79.3,71,2,2026-01-29 13:00:00
447,20,2,34.1,69,3,2026-01-30 22:00:00
448,20,3,75.8,74,1,2026-01-31 15:00:00
449,20,4,73.4,89,1,2026-02-01 04:00:00
450,20,5,62.1,94,1,2026-02-01 17:00:00
451,20,5,96.8,121,2,2026-02-02 01:00:00
452,20,6,72.6,70,1,2026-02-02 11:00:00
453,20,7,54.6,109,1,2026-02-04 11:00:00
454,20,8,60.2,85,1,2026-02-04 20:00:00
455,20,8,83.7,89,2,2026-02-06 20:00:00
456,20,8,35.7,103,3,2026-02-07 14:00:00
457,20,9,65.2,67,1,2026-02-08 15:00:00
458,20,9,44.0,97,2,2026-02-08 23:00:00
459,20,9,35.1,93,3,2026-02-10 01:00:00
460,20,10,79.1,99,1,2026-02-11 22:00:00
461,20,11,84.5,95,1,2026-02-13 13:00:00
462,20,12,51.7,139,1,2026-02-15 05:00:00
463,20,12,97.9,77,2,2026-02-17 03:00:00
464,20,13,83.4,79,1,2026-02-18 18:00:00
465,20,14,89.3,77,1,2026-02-19 22:00:00
466,20,14,66.0,78,2,2026-02-20 10:00:00
467,20,14,48.1,77,3,2026-02-20 23:00:00
468,20,15,42.0,113,1,2026-02-22 22:00:00
469,20,16,99.6,118,1,2026-02-24 15:00:00
470,20,17,44.3,78,1,2026-02-26 06:00:00
471,20,18,46.2,73,1,2026-02-27 06:00:00
472,20,18,75.6,99,2,2026-02-27 21:00:00
473,20,18,96.2,78,3,2026-02-28 10:00:00
474,21,1,99.2,102,1,2026-01-10 11:00:00
475,21,2,57.7,94,1,2026-01-11 20:00:00
476,21,3,76.8,59,1,2026-01-13 04:00:00
477,21,4,97.8,120,1,2026-01-14 16:00:00
478,21,4,91.1,125,2,2026-01-14 22:00:00
479,21,4,91.9,77,3,2026-01-15 07:00:00
480,21,5,56.5,82,1,2026-01-16 17:00:00
481,21,6,80.3,95,1,2026-01-18 12:00:00
482,21,6,52.9,96,2,2026-01-20 00:00:00
483,21,7,97.7,103,1,2026-01-20 14:00:00
484,21,7,88.9,130,2,2026-01-22 06:00:00
485,21,8,72.5,86,1,2026-01-22 11:00:00
486,21,8,88.5,74,2,2026-01-23 08:00:00
487,21,8,97.3,62,3,2026-01-23 19:00:00
488,21,9,75.4,75,1,2026-01-25 19:00:00
489,21,9,53.8,89,2,2026-01-26 04:00:00
490,21,10,89.1,125,1,2026-01-28 02:00:00
491,21,11,82.0,79,1,2026-01-28 09:00:00
492,21,12,45.6,94,1,2026-01-29 13:00:00
493,22,1,79.5,59,1,2026-01-30 08:00:00
494,22,2,89.6,83,1,2026-01-31 15:00:00
495,22,3,93.2,110,1,2026-02-02 08:00:00
496,22,4,90.7,49,1,2026-02-03 21:00:00
497,22,5,73.1,50,1,2026-02-05 03:00:00
498,22,6,72.8,80,1,2026-02-05 09:00:00
499,22,7,88.1,73,1,2026-02-05 20:00:00
500,22,8,72.3,96,1,2026-02-07 05:00:00
501,22,9,72.2,71,1,2026-02-08 01:00:00
502,22,9,40.3,52,2,2026-02-09 02:00:00
503,22,10,73.3,71,1,2026-02-09 17:00:00
504,23,1,72.2,112,1,2026-01-23 20:00:00
505,23,1,84.9,106,2,2026-01-25 04:00:00
506,23,1,74.5,100,3,2026-01-27 02:00:00
507,23,2,61.2,111,1,2026-01-28 07:00:00
508,23,3,98.1,113,1,2026-01-28 18:00:00
509,23,3,89.0,117,2,2026-01-29 17:00:00
510,23,4,41.6,102,1,2026-01-31 02:00:00
511,23,5,34.3,86,1,2026-02-02 02:00:00
512,23,5,47.5,92,2,2026-02-02 11:00:00
513,23,6,86.2,114,1,2026-02-03 15:00:00
514,23,7,80.1,73,1,2026-02-03 21:00:00
515,23,8,51.4,97,1,2026-02-05 20:00:00
516,23,9,54.7,82,1,2026-02-07 06:00:00
