attempt_id,student_id,topic_id,quiz_score,recent_quiz_score,historical_topic_score,attempts_count,total_time_spent,prerequisite_completion_rate,score_trend,engagement_frequency,topic_difficulty_numeric,target_struggling,timestamp
47,3,3,78.7,65.4,64.98,3,349,1.0,0.42,7,2,0,2026-01-13 20:00:00
48,3,4,44.6,68.97,66.94,1,154,1.0,2.02,8,2,1,2026-01-15 10:00:00
49,3,4,34.1,64.73,64.15,2,324,1.0,0.58,9,2,1,2026-01-16 03:00:00
50,3,5,62.6,52.47,60.81,1,141,0.0,-8.34,10,3,1,2026-01-16 23:00:00
51,3,6,64.4,47.1,60.99,1,172,1.0,-13.89,11,1,1,2026-01-18 16:00:00
52,3,7,51.2,53.7,61.3,1,112,0.0,-7.6,12,2,1,2026-01-18 23:00:00
53,3,8,95.7,59.4,60.46,1,105,1.0,-1.06,13,2,0,2026-01-20 15:00:00
54,3,9,35.1,70.43,63.17,1,138,1.0,7.26,14,3,1,2026-01-21 12:00:00
55,3,10,53.0,60.67,61.16,1,147,1.0,-0.5,14,2,1,2026-01-22 17:00:00
56,3,10,93.8,61.27,60.62,2,286,1.0,0.65,14,2,0,2026-01-24 01:00:00
57,3,10,65.0,60.63,62.69,3,384,1.0,-2.06,13,2,1,2026-01-24 22:00:00
58,3,11,48.3,70.6,62.83,1,138,0.5,7.77,14,1,1,2026-01-25 07:00:00
59,3,11,99.0,69.03,62.02,2,251,0.5,7.01,14,1,0,2026-01-26 21:00:00
60,3,11,43.5,70.77,63.97,3,404,0.5,6.8,13,1,1,2026-01-27 21:00:00
61,3,12,88.8,63.6,62.94,1,147,0.5,0.66,14,2,0,2026-01-28 04:00:00
62,3,12,30.0,77.1,64.18,2,268,0.5,12.92,15,2,1,2026-01-28 18:00:00
63,3,12,42.0,54.1,62.62,3,397,0.5,-8.52,16,2,1,2026-01-29 06:00:00
64,3,13,36.6,53.6,61.73,1,118,1.0,-8.13,14,2,1,2026-01-31 04:00:00
65,3,14,30.0,36.2,60.68,1,138,0.5,-24.48,15,3,1,2026-01-31 13:00:00
66,3,14,57.1,36.2,59.45,2,297,0.5,-23.25,14,3,1,2026-02-02 06:00:00
67,3,14,69.4,41.23,59.36,3,417,0.5,-18.13,15,3,1,2026-02-03 07:00:00
68,3,15,81.0,52.17,59.73,1,150,1.0,-7.57,15,2,0,2026-02-03 17:00:00
69,3,16,35.7,69.17,60.49,1,129,0.5,8.67,15,3,1,2026-02-05 14:00:00
70,3,17,36.0,62.03,59.64,1,124,0.0,2.4,15,3,1,2026-02-06 07:00:00
71,3,17,35.6,50.9,58.85,2,261,0.0,-7.95,16,3,1,2026-02-06 16:00:00
72,3,17,35.6,35.77,58.1,3,380,0.0,-22.33,15,3,1,2026-02-07 23:00:00
73,3,18,57.5,35.73,57.4,1,128,0.0,-21.66,15,3,1,2026-02-08 21:00:00
74,3,18,37.5,42.9,57.4,2,244,0.0,-14.5,15,3,1,2026-02-10 10:00:00
75,3,18,61.7,43.53,56.81,3,423,0.0,-13.28,16,3,1,2026-02-10 17:00:00
76,3,19,30.5,52.23,56.95,1,140,1.0,-4.72,13,2,1,2026-02-12 06:00:00
77,3,20,36.9,43.23,56.22,1,126,0.0,-12.99,14,3,1,2026-02-13 09:00:00
78,3,20,77.9,43.03,55.7,2,270,0.0,-12.66,13,3,0,2026-02-15 02:00:00
79,4,1,46.9,75.0,75.0,1,87,1.0,0.0,1,1,1,2026-01-23 12:00:00
80,4,2,72.4,46.9,46.9,1,85,0.0,0.0,2,1,0,2026-01-24 09:00:00
81,4,3,42.4,59.65,59.65,1,102,1.0,0.0,3,2,1,2026-01-26 08:00:00
82,4,3,83.0,53.9,53.9,2,207,1.0,0.0,4,2,0,2026-01-27 03:00:00
83,4,3,59.6,65.93,61.18,3,286,1.0,4.76,5,2,1,2026-01-29 01:00:00
84,4,4,93.5,61.67,60.86,1,78,1.0,0.81,6,2,0,2026-01-30 03:00:00
85,4,5,31.2,78.7,66.3,1,84,1.0,12.4,7,3,1,2026-01-30 14:00:00
86,4,5,99.3,61.43,61.29,2,127,1.0,0.15,8,3,0,2026-01-30 22:00:00
87,4,6,36.7,74.67,66.04,1,59,1.0,8.63,9,1,1,2026-02-01 09:00:00
88,4,7,30.1,55.73,62.78,1,117,0.0,-7.04,10,2,1,2026-02-02 03:00:00
89,4,8,98.8,55.37,59.51,1,122,1.0,-4.14,11,2,0,2026-02-02 16:00:00
90,4,9,52.8,55.2,63.08,1,85,1.0,-7.88,12,3,1,2026-02-03 13:00:00
91,4,9,94.1,60.57,62.22,2,186,1.0,-1.66,13,3,0,2026-02-03 20:00:00
92,4,10,83.7,81.9,64.68,1,96,1.0,17.22,14,2,0,2026-02-04 20:00:00
93,4,10,59.5,76.87,66.04,2,247,1.0,10.83,14,2,1,2026-02-06 12:00:00
94,4,11,51.8,79.1,65.6,1,112,0.5,13.5,15,1,1,2026-02-07 04:00:00
95,4,12,95.2,65.0,64.74,1,87,0.5,0.26,15,2,0,2026-02-08 18:00:00
96,4,13,85.9,68.83,66.53,1,70,1.0,2.3,15,2,0,2026-02-09 17:00:00
97,4,14,97.6,77.63,67.61,1,57,0.5,10.03,15,3,0,2026-02-10 14:00:00
98,5,1,74.0,75.0,75.0,1,64,1.0,0.0,1,1,0,2026-01-28 17:00:00
99,5,2,77.8,74.0,74.0,1,44,1.0,0.0,2,1,0,2026-01-29 05:00:00
100,5,3,72.2,75.9,75.9,1,31,1.0,0.0,3,2,0,2026-01-30 13:00:00
101,5,4,84.0,74.67,74.67,1,47,1.0,0.0,4,2,0,2026-01-30 23:00:00
102,5,5,95.6,78.0,77.0,1,38,1.0,1.0,5,3,0,2026-01-31 22:00:00
103,5,5,57.8,83.93,80.72,2,131,1.0,3.21,6,3,1,2026-02-01 21:00:00
104,5,6,79.0,79.13,76.9,1,77,1.0,2.23,7,1,0,2026-02-03 09:00:00
105,5,6,86.5,77.47,77.2,2,136,1.0,0.27,8,1,0,2026-02-04 17:00:00
106,5,7,93.4,74.43,78.36,1,89,1.0,-3.93,9,2,0,2026-02-04 21:00:00
107,5,8,33.4,86.3,80.03,1,61,1.0,6.27,10,2,1,2026-02-06 17:00:00
108,5,9,73.9,71.1,75.37,1,42,0.0,-4.27,11,3,0,2026-02-08 14:00:00
109,5,10,91.7,66.9,75.24,1,90,1.0,-8.34,12,2,0,2026-02-10 06:00:00
110,5,11,41.0,66.33,76.61,1,70,1.0,-10.28,13,1,1,2026-02-10 23:00:00
111,5,12,82.4,68.87,73.87,1,39,0.5,-5.0,12,2,0,2026-02-12 20:00:00
112,5,13,93.9,71.7,74.48,1,56,1.0,-2.78,13,2,0,2026-02-13 12:00:00
113,5,14,43.7,72.43,75.77,1,42,1.0,-3.34,11,3,1,2026-02-15 02:00:00
114,5,15,70.9,73.33,73.77,1,32,0.0,-0.44,11,2,0,2026-02-16 02:00:00
115,5,16,89.7,69.5,73.6,1,78,1.0,-4.1,12,3,0,2026-02-16 16:00:00
116,5,17,95.2,68.1,74.49,1,98,1.0,-6.39,12,3,0,2026-02-17 20:00:00
117,6,1,87.0,75.0,75.0,1,32,1.0,0.0,1,1,0,2026-01-12 00:00:00
118,6,2,77.0,87.0,87.0,1,71,1.0,0.0,2,1,0,2026-01-12 06:00:00
119,6,3,73.9,82.0,82.0,1,46,1.0,0.0,3,2,0,2026-01-14 01:00:00
120,6,4,95.4,79.3,79.3,1,50,1.0,0.0,4,2,0,2026-01-14 14:00:00
121,6,5,79.7,82.1,83.32,1,48,1.0,-1.22,5,3,0,2026-01-15 00:00:00
122,6,5,55.9,83.0,82.6,2,90,1.0,0.4,6,3,1,2026-01-16 20:00:00
123,6,5,75.3,77.0,78.15,3,150,1.0,-1.15,7,3,0,2026-01-18 18:00:00
124,6,6,93.1,70.3,77.74,1,43,1.0,-7.44,8,1,0,2026-01-19 23:00:00
125,6,6,94.3,74.77,79.66,2,108,1.0,-4.9,9,1,0,2026-01-21 17:00:00
126,6,6,84.9,87.57,81.29,3,166,1.0,6.28,10,1,0,2026-01-23 09:00:00
127,6,7,56.7,90.77,81.65,1,55,1.0,9.12,11,2,1,2026-01-23 18:00:00
128,6,8,93.6,78.63,79.38,1,41,1.0,-0.75,12,2,0,2026-01-24 02:00:00
129,6,9,81.4,78.4,80.57,1,48,1.0,-2.17,13,3,0,2026-01-25 08:00:00
130,6,10,76.8,77.23,80.63,1,75,1.0,-3.4,12,2,0,2026-01-27 05:00:00
131,6,10,77.8,83.93,80.36,2,145,1.0,3.58,12,2,0,2026-01-28 03:00:00
132,6,10,36.4,78.67,80.19,3,185,1.0,-1.52,12,2,1,2026-01-28 17:00:00
133,6,11,82.9,63.67,77.45,1,61,0.5,-13.78,12,1,0,2026-01-30 03:00:00
134,6,12,99.2,65.7,77.77,1,75,1.0,-12.07,13,2,0,2026-01-30 13:00:00
135,6,13,95.2,72.83,78.96,1,30,1.0,-6.13,13,2,0,2026-01-31 18:00:00
136,6,14,84.4,92.43,79.82,1,70,0.5,12.62,13,3,0,2026-02-02 16:00:00
137,6,15,81.9,92.93,80.05,1,46,1.0,12.89,13,2,0,2026-02-03 03:00:00
138,6,15,75.5,87.17,80.13,2,117,1.0,7.03,13,2,0,2026-02-05 00:00:00
139,7,1,78.1,75.0,75.0,1,44,1.0,0.0,1,1,0,2026-01-14 20:00:00
140,7,2,86.2,78.1,78.1,1,30,1.0,0.0,2,1,0,2026-01-16 18:00:00
141,7,3,98.1,82.15,82.15,1,30,1.0,0.0,3,2,0,2026-01-18 08:00:00
142,7,3,97.1,87.47,87.47,2,90,1.0,0.0,4,2,0,2026-01-19 07:00:00
143,7,4,88.6,93.8,89.88,1,65,1.0,3.92,5,2,0,2026-01-20 23:00:00
144,7,5,35.0,94.6,89.62,1,41,1.0,4.98,6,3,1,2026-01-21 16:00:00
145,7,6,77.7,73.57,80.52,1,72,1.0,-6.95,7,1,0,2026-01-22 05:00:00
146,7,6,86.6,67.1,80.11,2,102,1.0,-13.01,8,1,0,2026-01-23 09:00:00
147,7,6,88.7,66.43,80.92,3,160,1.0,-14.49,9,1,0,2026-01-23 13:00:00
148,7,7,98.9,84.33,81.79,1,35,1.0,2.54,10,2,0,2026-01-25 06:00:00
149,7,8,40.5,91.4,83.5,1,46,1.0,7.9,11,2,1,2026-01-26 08:00:00
150,7,8,75.2,76.03,79.59,2,106,1.0,-3.56,12,2,0,2026-01-28 02:00:00
151,7,8,82.1,71.53,79.23,3,148,1.0,-7.69,12,2,0,2026-01-29 20:00:00
152,7,9,93.8,65.93,79.45,1,52,1.0,-13.51,13,3,0,2026-01-30 01:00:00
153,7,9,68.8,83.7,80.47,2,132,1.0,3.23,13,3,1,2026-02-01 01:00:00
154,7,10,82.5,81.57,79.69,1,48,1.0,1.87,13,2,0,2026-02-02 01:00:00
155,7,11,96.0,81.7,79.87,1,76,1.0,1.83,13,1,0,2026-02-03 12:00:00
156,7,11,91.3,82.43,80.82,2,113,1.0,1.62,13,1,0,2026-02-04 02:00:00
157,7,12,95.0,89.93,81.4,1,70,1.0,8.53,13,2,0,2026-02-04 17:00:00
158,7,13,94.7,94.1,82.12,1,88,1.0,11.98,13,2,0,2026-02-05 09:00:00
159,7,13,77.3,93.67,82.74,2,118,1.0,10.92,14,2,0,2026-02-05 20:00:00
160,7,13,80.5,89.0,82.49,3,162,1.0,6.51,13,2,0,2026-02-07 06:00:00
161,7,14,74.9,84.17,82.4,1,71,1.0,1.77,14,3,0,2026-02-07 11:00:00
162,8,1,70.6,75.0,75.0,1,135,1.0,0.0,1,1,0,2026-01-28 21:00:00
163,8,2,88.3,70.6,70.6,1,147,1.0,0.0,2,1,0,2026-01-29 01:00:00
164,8,2,48.3,79.45,79.45,2,274,1.0,0.0,3,1,1,2026-01-30 05:00:00
165,8,2,54.9,69.07,69.07,3,415,1.0,0.0,4,1,1,2026-02-01 04:00:00
166,8,3,54.3,63.83,65.52,1,136,1.0,-1.69,5,2,1,2026-02-02 19:00:00
167,8,3,41.0,52.5,63.28,2,299,1.0,-10.78,6,2,1,2026-02-03 03:00:00
168,8,4,50.6,50.07,59.57,1,145,0.0,-9.5,7,2,1,2026-02-04 02:00:00
169,8,4,57.2,48.63,58.29,2,291,0.0,-9.65,8,2,1,2026-02-05 07:00:00
170,8,4,40.4,49.6,58.15,3,422,0.0,-8.55,9,2,1,2026-02-06 18:00:00
171,8,5,58.5,49.4,56.18,1,130,0.0,-6.78,10,3,1,2026-02-07 10:00:00
172,8,5,63.7,52.03,56.41,2,261,0.0,-4.38,11,3,1,2026-02-08 12:00:00
173,8,5,59.6,54.2,57.07,3,408,0.0,-2.87,12,3,1,2026-02-08 22:00:00
174,8,6,96.1,60.6,57.28,1,131,1.0,3.32,13,1,0,2026-02-10 00:00:00
175,8,7,89.0,73.13,60.27,1,145,1.0,12.86,14,2,0,2026-02-11 10:00:00
176,8,8,46.5,81.57,62.32,1,181,1.0,19.25,13,2,1,2026-02-12 14:00:00
177,8,8,52.7,77.2,61.27,2,338,1.0,15.93,13,2,1,2026-02-13 15:00:00
178,8,8,49.5,62.73,60.73,3,471,1.0,2.0,14,2,1,2026-02-14 06:00:00
179,8,9,60.9,49.57,60.07,1,164,0.0,-10.5,15,3,1,2026-02-15 03:00:00
180,8,10,47.1,54.37,60.12,1,131,1.0,-5.75,14,2,1,2026-02-16 22:00:00
181,8,11,65.6,52.5,59.43,1,99,1.0,-6.93,14,1,1,2026-02-18 01:00:00
182,8,12,43.7,57.87,59.74,1,119,0.0,-1.87,14,2,1,2026-02-18 19:00:00
183,8,13,41.6,52.13,58.98,1,102,0.0,-6.84,15,2,1,2026-02-19 01:00:00
184,8,14,66.0,50.3,58.19,1,132,0.5,-7.89,15,3,1,2026-02-19 13:00:00
185,8,14,76.7,50.43,58.53,2,272,0.5,-8.09,15,3,0,2026-02-20 18:00:00
186,8,14,36.7,61.43,59.28,3,445,0.5,2.15,16,3,1,2026-02-20 23:00:00
187,8,15,53.7,59.8,58.38,1,146,0.0,1.42,15,2,1,2026-02-22 13:00:00
188,8,16,45.2,55.7,58.2,1,135,0.0,-2.5,15,3,1,2026-02-23 00:00:00
189,8,17,82.6,45.2,57.72,1,156,0.0,-12.52,15,3,0,2026-02-24 20:00:00
190,8,17,35.5,60.5,58.61,2,251,0.0,1.89,14,3,1,2026-02-26 15:00:00
191,8,17,73.4,54.43,57.81,3,395,0.0,-3.38,13,3,0,2026-02-28 10:00:00
192,8,18,46.3,63.83,58.33,1,155,0.0,5.5,14,3,1,2026-03-01 02:00:00
193,8,18,57.5,51.73,57.94,2,265,0.0,-6.21,14,3,1,2026-03-02 13:00:00
194,8,18,72.7,59.07,57.93,3,427,0.0,1.14,15,3,0,2026-03-02 17:00:00
195,8,19,55.7,58.83,58.38,1,146,0.0,0.46,15,2,1,2026-03-03 03:00:00
196,8,20,64.0,61.97,58.3,1,131,0.0,3.67,16,3,1,2026-03-03 18:00:00
197,9,1,56.5,75.0,75.0,1,102,1.0,0.0,1,1,1,2026-01-14 04:00:00
198,9,2,80.3,56.5,56.5,1,135,0.0,0.0,2,1,0,2026-01-14 13:00:00
199,9,2,81.6,68.4,68.4,2,228,0.0,0.0,3,1,0,2026-01-15 22:00:00
200,9,3,32.3,72.8,72.8,1,94,1.0,0.0,4,2,1,2026-01-16 10:00:00
201,9,4,88.3,64.73,62.68,1,80,0.0,2.06,5,2,0,2026-01-18 09:00:00
202,9,4,49.5,67.4,67.8,2,153,0.0,-0.4,6,2,1,2026-01-18 21:00:00
203,9,4,79.4,56.7,64.75,3,259,0.0,-8.05,7,2,0,2026-01-19 05:00:00
204,9,5,50.7,72.4,66.84,1,72,1.0,5.56,8,3,1,2026-01-21 03:00:00
205,9,6,89.2,59.87,64.82,1,91,1.0,-4.96,9,1,0,2026-01-22 05:00:00
206,9,7,64.7,73.1,67.53,1,80,1.0,5.57,10,2,1,2026-01-23 15:00:00
207,9,8,81.4,68.2,67.25,1,99,1.0,0.95,11,2,0,2026-01-24 09:00:00
208,9,9,73.6,78.43,68.54,1,96,1.0,9.9,12,3,0,2026-01-25 20:00:00
209,9,10,72.7,73.23,68.96,1,110,1.0,4.27,13,2,0,2026-01-27 11:00:00
210,9,11,44.5,75.9,69.25,1,79,0.5,6.65,12,1,1,2026-01-28 20:00:00
211,10,1,34.5,75.0,75.0,1,134,1.0,0.0,1,1,1,2026-01-30 03:00:00
212,10,1,89.0,34.5,34.5,2,254,1.0,0.0,2,1,0,2026-01-31 04:00:00
213,10,1,96.9,61.75,61.75,3,385,1.0,0.0,3,1,0,2026-02-02 04:00:00
214,10,2,37.5,73.47,73.47,1,147,1.0,0.0,4,1,1,2026-02-03 00:00:00
215,10,3,31.9,74.47,64.47,1,155,0.0,9.99,5,2,1,2026-02-03 10:00:00
216,10,3,53.5,55.43,57.96,2,276,0.0,-2.53,6,2,1,2026-02-04 18:00:00
217,10,4,50.3,40.97,57.22,1,157,0.0,-16.25,7,2,1,2026-02-06 11:00:00
218,10,4,89.7,45.23,56.23,2,324,0.0,-11.0,8,2,0,2026-02-06 23:00:00
219,10,5,40.9,64.5,60.41,1,148,1.0,4.09,9,3,1,2026-02-08 23:00:00
220,10,5,88.1,60.3,58.24,2,325,1.0,2.06,10,3,0,2026-02-09 11:00:00
221,10,5,42.5,72.9,61.23,3,449,1.0,11.67,11,3,1,2026-02-11 11:00:00
222,10,6,55.9,57.17,59.53,1,115,1.0,-2.36,12,1,1,2026-02-11 23:00:00
223,10,6,58.3,62.17,59.22,2,219,1.0,2.94,12,1,1,2026-02-13 23:00:00
224,10,6,58.3,52.23,59.15,3,388,1.0,-6.92,12,1,1,2026-02-15 15:00:00
225,10,7,90.1,57.5,59.09,1,153,0.0,-1.59,12,2,0,2026-02-16 19:00:00
226,10,8,71.9,68.9,61.16,1,138,1.0,7.74,11,2,0,2026-02-17 15:00:00
227,10,8,94.4,73.43,61.83,2,283,1.0,11.6,11,2,0,2026-02-19 05:00:00
228,10,8,39.5,85.47,63.75,3,400,1.0,21.72,10,2,1,2026-02-21 02:00:00
229,10,9,68.9,68.6,62.4,1,188,1.0,6.2,11,3,1,2026-02-22 08:00:00
230,10,9,64.7,67.6,62.74,2,330,1.0,4.86,11,3,1,2026-02-23 04:00:00
231,10,10,37.8,57.7,62.84,1,142,1.0,-5.14,11,2,1,2026-02-24 18:00:00
232,10,10,90.5,57.13,61.65,2,296,1.0,-4.51,10,2,0,2026-02-26 02:00:00
233,10,10,71.2,64.33,62.96,3,445,1.0,1.37,11,2,0,2026-02-27 14:00:00
234,10,11,36.2,66.5,63.32,1,144,0.5,3.18,11,1,1,2026-02-28 23:00:00
235,10,12,52.0,65.97,62.19,1,124,0.0,3.78,11,2,1,2026-03-02 10:00:00
236,10,12,50.8,53.13,61.78,2,273,0.0,-8.65,11,2,1,2026-03-03 04:00:00
237,10,13,56.5,46.33,61.36,1,177,0.0,-15.02,11,2,1,2026-03-03 22:00:00
238,10,13,54.7,53.1,61.18,2,343,0.0,-8.08,12,2,1,2026-03-04 15:00:00
239,10,14,39.7,54.0,60.95,1,171,0.5,-6.95,12,3,1,2026-03-06 10:00:00
240,10,14,51.6,50.3,60.21,2,300,0.5,-9.91,13,3,1,2026-03-06 21:00:00
241,10,14,50.3,48.67,59.93,3,420,0.5,-11.26,13,3,1,2026-03-08 00:00:00
242,10,15,36.7,47.2,59.62,1,137,0.0,-12.42,13,2,1,2026-03-08 09:00:00
243,10,15,55.1,46.2,58.9,2,278,0.0,-12.7,14,2,1,2026-03-08 17:00:00
244,10,15,58.0,47.37,58.78,3,439,0.0,-11.42,14,2,1,2026-03-09 10:00:00
245,10,16,48.3,49.93,58.76,1,106,0.0,-8.83,14,3,1,2026-03-11 09:00:00
246,10,17,39.1,53.8,58.46,1,170,0.0,-4.66,15,3,1,2026-03-11 17:00:00
247,10,17,47.3,48.47,57.92,2,306,0.0,-9.46,15,3,1,2026-03-13 01:00:00
248,10,17,55.6,44.9,57.64,3,437,0.0,-12.74,16,3,1,2026-03-13 12:00:00
249,10,18,50.1,47.33,57.58,1,119,0.0,-10.25,16,3,1,2026-03-13 20:00:00
250,10,19,51.3,51.0,57.39,1,106,0.5,-6.39,17,2,1,2026-03-14 01:00:00
251,10,19,55.3,52.33,57.24,2,262,0.5,-4.91,17,2,1,2026-03-15 15:00:00
252,10,19,35.6,52.23,57.19,3,403,0.5,-4.96,16,2,1,2026-03-17 06:00:00
253,11,1,92.4,75.0,75.0,1,34,1.0,0.0,1,1,0,2026-01-23 09:00:00
254,11,2,75.5,92.4,92.4,1,34,1.0,0.0,2,1,0,2026-01-24 21:00:00
255,11,3,72.2,83.95,83.95,1,53,1.0,0.0,3,2,0,2026-01-26 06:00:00
256,11,3,87.4,80.03,80.03,2,146,1.0,0.0,4,2,0,2026-01-26 16:00:00
257,11,3,73.0,78.37,81.88,3,200,1.0,-3.51,5,2,0,2026-01-28 14:00:00
258,11,4,87.5,77.53,80.1,1,30,1.0,-2.57,6,2,0,2026-01-30 12:00:00
259,11,5,76.6,82.63,81.33,1,55,1.0,1.3,7,3,0,2026-01-31 12:00:00
260,11,6,83.9,79.03,80.66,1,54,1.0,-1.62,8,1,0,2026-02-01 13:00:00
261,11,7,78.4,82.67,81.06,1,30,1.0,1.6,9,2,0,2026-02-03 07:00:00
262,11,8,63.9,79.63,80.77,1,58,1.0,-1.13,10,2,1,2026-02-03 15:00:00
263,11,9,86.3,75.4,79.08,1,55,0.0,-3.68,11,3,0,2026-02-03 21:00:00
264,11,10,53.5,76.2,79.74,1,73,1.0,-3.54,12,2,1,2026-02-04 15:00:00
265,11,11,89.9,67.9,77.55,1,96,1.0,-9.65,13,1,0,2026-02-05 18:00:00
266,11,12,87.0,76.57,78.5,1,82,1.0,-1.93,13,2,0,2026-02-06 09:00:00
267,11,13,71.3,76.8,79.11,1,54,1.0,-2.31,14,2,0,2026-02-07 05:00:00
268,11,14,31.6,82.73,78.59,1,37,1.0,4.15,14,3,1,2026-02-08 14:00:00
269,11,15,40.5,63.3,75.65,1,111,1.0,-12.35,14,2,1,2026-02-09 11:00:00
270,11,16,33.1,47.8,73.58,1,61,1.0,-25.78,14,3,1,2026-02-11 08:00:00
271,11,17,49.2,35.07,71.33,1,60,0.0,-36.27,14,3,1,2026-02-12 10:00:00
272,11,18,89.3,40.93,70.17,1,59,0.0,-29.24,15,3,0,2026-02-13 04:00:00
273,12,1,49.2,75.0,75.0,1,113,1.0,0.0,1,1,1,2026-01-30 01:00:00
274,12,1,95.0,49.2,49.2,2,220,1.0,0.0,2,1,0,2026-01-31 18:00:00
275,12,2,96.7,72.1,72.1,1,98,1.0,0.0,3,1,0,2026-02-02 14:00:00
276,12,3,55.4,80.3,80.3,1,99,1.0,0.0,4,2,1,2026-02-04 08:00:00
277,12,3,99.8,82.37,74.07,2,208,1.0,8.29,5,2,0,2026-02-05 01:00:00
278,12,4,50.4,83.97,79.22,1,99,1.0,4.75,6,2,1,2026-02-05 16:00:00
